symbol,exchange,organ_name,industry
VPH,HSX,Công ty Cổ phần Vạn Phát Hưng,Bất động sản
VPG,HSX,Công ty Cổ phần Đầu tư Thương mại Xuất nhập khẩu Việt Phát,Tài nguyên Cơ bản
VPD,HSX,Công ty Cổ phần Phát triển Điện lực Việt Nam,"Điện, nước & xăng dầu khí đốt"
VPB,HSX,Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng,Ngân hàng
VOS,HSX,Công ty Cổ phần Vận tải Biển Việt Nam,Hàng & Dịch vụ Công nghiệp
VNT,HNX,Công ty Cổ phần Giao nhận Vận tải Ngoại Thương,Hàng & Dịch vụ Công nghiệp
VNS,HSX,Công ty Cổ phần Ánh Dương Việt Nam,Du lịch và Giải trí
VNR,HNX,Tổng Công ty Cổ phần Tái bảo hiểm Quốc gia Việt Nam,Bảo hiểm
VNM,HSX,Công ty Cổ phần Sữa Việt Nam,Thực phẩm và đồ uống
VNL,HSX,Công ty Cổ phần Logistics Vinalink,Hàng & Dịch vụ Công nghiệp
VNG,HSX,Công ty Cổ phần Du Lịch Thành Thành Công,Du lịch và Giải trí
VNF,HNX,Công ty Cổ phần Vinafreight,Hàng & Dịch vụ Công nghiệp
VNE,HSX,Tổng Công ty Cổ phần Xây dựng điện Việt Nam,Xây dựng và Vật liệu
VND,HSX,Công ty Cổ phần Chứng khoán VNDIRECT,Dịch vụ tài chính
VNC,HNX,Công ty Cổ phần Tập đoàn Vinacontrol,Hàng & Dịch vụ Công nghiệp
VMS,HNX,Công ty Cổ phần Phát triển Hàng Hải,Hàng & Dịch vụ Công nghiệp
VMD,HSX,Công ty Cổ phần Y Dược phẩm Vimedimex,Y tế
VMC,HNX,Công ty Cổ phần VIMECO,Xây dựng và Vật liệu
VLA,HNX,Công ty Cổ phần Đầu tư và Phát triển Công nghệ Văn Lang,Công nghệ Thông tin
VJC,HSX,Công ty Cổ phần Hàng không Vietjet,Du lịch và Giải trí
VIX,HSX,Công ty Cổ phần Chứng khoán VIX,Dịch vụ tài chính
VIT,HNX,Công ty Cổ phần Viglacera Tiên Sơn,Xây dựng và Vật liệu
